index,worker,order_in_worker,source,c3,d4,run_name,target_events,seed,status,event_count,cross_section_pb,lhe_file,log_file,updated_at,error
32,10,3,refinement_36,1.5,350.0,run_gg_4h_5_1.5_350.0,40000,323626925,complete,40000,0.00114209,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_10/run_gg_4h_5_1.5_350.0.log,2026-07-26T22:45:55+00:00,
33,11,3,refinement_36,3.0,-350.0,run_gg_4h_5_3.0_-350.0,40000,478048622,complete,40000,0.0027611,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_3.0_-350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_11/run_gg_4h_5_3.0_-350.0.log,2026-07-26T22:45:55+00:00,
34,1,4,refinement_36,3.0,350.0,run_gg_4h_5_3.0_350.0,40000,324202396,complete,40000,0.00263628,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_3.0_350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_01/run_gg_4h_5_3.0_350.0.log,2026-07-26T22:45:55+00:00,
35,2,4,refinement_36,0.0,-250.0,run_gg_4h_5_0.0_-250.0,40000,312667564,complete,40000,0.00032928,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.0_-250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_02/run_gg_4h_5_0.0_-250.0.log,2026-07-26T22:45:56+00:00,
36,3,4,refinement_36,0.0,250.0,run_gg_4h_5_0.0_250.0,40000,404457969,complete,40000,0.00030721,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.0_250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_03/run_gg_4h_5_0.0_250.0.log,2026-07-26T22:45:56+00:00,
37,4,4,bridge_60,6.0,-200.0,run_gg_4h_5_6.0_-200.0,40000,154537621,complete,40000,0.0027393,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_6.0_-200.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_04/run_gg_4h_5_6.0_-200.0.log,2026-07-26T22:45:56+00:00,
38,5,4,signal_57,-0.258819,0.0,run_gg_4h_5_-0.258819_0.0,40000,847193665,complete,40000,1.27137e-07,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-0.258819_0.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_05/run_gg_4h_5_-0.258819_0.0.log,2026-07-26T22:45:57+00:00,
39,6,4,signal_57,-0.866025,70.7107,run_gg_4h_5_-0.866025_70.7107,40000,548837639,complete,40000,2.77886e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-0.866025_70.7107/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_06/run_gg_4h_5_-0.866025_70.7107.log,2026-07-26T22:45:57+00:00,
40,7,4,signal_57,-0.866025,-100.0,run_gg_4h_5_-0.866025_-100.0,40000,775909277,complete,40000,6.4948e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-0.866025_-100.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_07/run_gg_4h_5_-0.866025_-100.0.log,2026-07-26T22:45:58+00:00,
41,8,4,signal_57,-0.5,0.0,run_gg_4h_5_-0.5_0.0,40000,564701193,complete,40000,1.38966e-07,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-0.5_0.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_08/run_gg_4h_5_-0.5_0.0.log,2026-07-26T22:45:58+00:00,
42,9,4,signal_57,0.5,-70.7107,run_gg_4h_5_0.5_-70.7107,40000,137864107,complete,40000,3.252e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.5_-70.7107/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_09/run_gg_4h_5_0.5_-70.7107.log,2026-07-26T22:45:58+00:00,
43,10,4,bridge_60,-12.0,100.0,run_gg_4h_5_-12.0_100.0,40000,576155818,complete,40000,0.0085026,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-12.0_100.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_10/run_gg_4h_5_-12.0_100.0.log,2026-07-26T22:45:59+00:00,
44,11,4,bridge_60,-12.0,0.0,run_gg_4h_5_-12.0_0.0,40000,163956394,complete,40000,0.00202515,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-12.0_0.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_11/run_gg_4h_5_-12.0_0.0.log,2026-07-26T22:45:59+00:00,
45,1,5,bridge_60,-12.0,300.0,run_gg_4h_5_-12.0_300.0,40000,853406837,complete,40000,0.03687,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-12.0_300.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_01/run_gg_4h_5_-12.0_300.0.log,2026-07-26T22:45:59+00:00,
46,2,5,signal_57,-0.866025,-70.7107,run_gg_4h_5_-0.866025_-70.7107,40000,154666606,complete,40000,3.34217e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-0.866025_-70.7107/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_02/run_gg_4h_5_-0.866025_-70.7107.log,2026-07-26T22:46:00+00:00,
47,3,5,signal_57,0.5,100.0,run_gg_4h_5_0.5_100.0,40000,779225544,complete,40000,5.1708e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.5_100.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_03/run_gg_4h_5_0.5_100.0.log,2026-07-26T22:46:00+00:00,
48,4,5,bridge_60,12.0,300.0,run_gg_4h_5_12.0_300.0,40000,541231778,complete,40000,0.031597,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_12.0_300.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_04/run_gg_4h_5_12.0_300.0.log,2026-07-26T22:46:00+00:00,
49,5,5,bridge_60,-9.0,-300.0,run_gg_4h_5_-9.0_-300.0,40000,172090248,complete,40000,0.0095072,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-9.0_-300.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_05/run_gg_4h_5_-9.0_-300.0.log,2026-07-26T22:46:01+00:00,
50,6,5,bridge_60,3.0,-300.0,run_gg_4h_5_3.0_-300.0,40000,307970459,complete,40000,0.00204688,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_3.0_-300.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_06/run_gg_4h_5_3.0_-300.0.log,2026-07-26T22:46:01+00:00,
