index,c3,d4,run_name,target_events,herwig_generated_events,mg5_xsec_pb,mg5_xsec_fb,herwig_total_xsec_nb,analysis_xsec_fb,relative_difference,root_bytes,status
130,-9.0,300.0,run_gg_4h_5_-9.0_300.0,40000,40000,0.0172809,17.2809,1.7279e-05,17.279,0.000109947977247,36396113,ok
131,-3.0,200.0,run_gg_4h_5_-3.0_200.0,40000,40000,0.00081743,0.81743,8.1739e-07,0.81739,4.89338536634e-05,36667775,ok
132,-30.0,700.0,run_gg_4h_5_-30.0_700.0,40000,40000,2.13155,2131.55,0.0021314,2131.4,7.03713260302e-05,36264026,ok
133,-6.0,-100.0,run_gg_4h_5_-6.0_-100.0,40000,40000,0.00044799,0.44799,4.4796e-07,0.44796,6.69657804862e-05,36906770,ok
134,3.0,300.0,run_gg_4h_5_3.0_300.0,40000,40000,0.00192724,1.92724,1.9271e-06,1.9271,7.26427429899e-05,36783367,ok
135,0.866025,100.0,run_gg_4h_5_0.866025_100.0,40000,40000,6.0665e-05,0.060665,6.0662e-08,0.060662,4.94519080193e-05,37215107,ok
136,0.0,70.7107,run_gg_4h_5_0.0_70.7107,40000,40000,2.24024e-05,0.0224024,2.24e-08,0.0224,0.000107131378781,37401336,ok
137,-6.0,0.0,run_gg_4h_5_-6.0_0.0,40000,40000,5.2721e-05,0.052721,5.2717e-08,0.052717,7.58710950095e-05,35859789,ok
138,6.0,300.0,run_gg_4h_5_6.0_300.0,40000,40000,0.0065339,6.5339,6.5337e-06,6.5337,3.06095899846e-05,36635788,ok
139,0.866025,70.7107,run_gg_4h_5_0.866025_70.7107,40000,40000,2.9078e-05,0.029078,2.9076e-08,0.029076,6.87805213565e-05,37242752,ok
140,-30.0,-700.0,run_gg_4h_5_-30.0_-700.0,40000,40000,0.142181,142.181,0.00014216,142.16,0.000147699059649,38176108,ok
141,-1.0,-70.7107,run_gg_4h_5_-1.0_-70.7107,40000,40000,3.53214e-05,0.0353214,3.5316e-08,0.035316,0.000152881822351,37145198,ok
142,0.0,100.0,run_gg_4h_5_0.0_100.0,40000,40000,4.6539e-05,0.046539,4.6537e-08,0.046537,4.29747093834e-05,37495629,ok
143,-3.0,0.0,run_gg_4h_5_-3.0_0.0,40000,40000,2.27616e-06,0.00227616,2.276e-09,0.002276,7.0293828202e-05,35977261,ok
144,-9.0,-100.0,run_gg_4h_5_-9.0_-100.0,40000,40000,0.00057113,0.57113,5.7109e-07,0.57109,7.00365941205e-05,37285337,ok
145,-9.0,-200.0,run_gg_4h_5_-9.0_-200.0,40000,40000,0.0036038,3.6038,3.6037e-06,3.6037,2.77484877074e-05,37056956,ok
146,0.0,300.0,run_gg_4h_5_0.0_300.0,40000,40000,0.0004456,0.4456,4.4558e-07,0.44558,4.48833034112e-05,37385068,ok
147,-0.5,70.7107,run_gg_4h_5_-0.5_70.7107,40000,40000,2.3957e-05,0.023957,2.3955e-08,0.023955,8.3482906875e-05,37382402,ok
148,-9.0,0.0,run_gg_4h_5_-9.0_0.0,40000,40000,0.00042834,0.42834,4.2832e-07,0.42832,4.66918802819e-05,35669647,ok
149,25.9808,0.0,run_gg_4h_5_25.9808_0.0,40000,40000,0.10449,104.49,0.00010448,104.48,9.57029380801e-05,35460402,ok
150,1.0,-100.0,run_gg_4h_5_1.0_-100.0,40000,40000,7.946e-05,0.07946,7.9456e-08,0.079456,5.03397936069e-05,37200770,ok
151,-1.0,0.0,run_gg_4h_5_-1.0_0.0,40000,40000,1.92947e-07,0.000192947,1.9294e-10,0.00019294,3.62793927865e-05,36065873,ok
152,6.0,100.0,run_gg_4h_5_6.0_100.0,40000,40000,0.00077832,0.77832,7.783e-07,0.7783,2.56963716725e-05,36639771,ok
153,0.0,-700.0,run_gg_4h_5_0.0_-700.0,40000,40000,0.0025227,2.5227,2.5225e-06,2.5225,7.92801363618e-05,37392787,ok
